Term 1,Term 2,Normalized Human Judgment Mean
דַב,ַב׃םזבֹ,0.908
דַב,Úדבֹ,0.904
דַב,ֻׁזֹ,0.827
דַב,ÚÞַַׁÊ,0.729
דַב,ָהß,0.85
דַב,זֿםÚֹ,0.773
דַב,Û׃םב ַבֳדזַב,0.565
הדׁ,ַבםÛזׁ,0.8
הדׁ,׃הזׁםַÊ,0.8
הדׁ,ֲßבַÊ ַבבֽזד,0.708
הדׁ,ֻֿםםַÊ,0.685
הדׁ,ֽםזַה,0.7
הדׁ,ßֶַה ֽם,0.477
הדׁ,Úבד ַבֽםזַה,0.562
הדׁ,ֽֿםÞֹ ֽםזַה,0.587
Úבד ַבהÝ׃,״ָ הÝ׃ם,0.808
Úבד ַבהÝ׃,ַבÞבÞ,0.7
Úבד ַבהÝ׃,ַב־זÝ,0.685
Úבד ַבהÝ׃,ַßÊֶַָ,0.742
Úבד ַבהÝ׃,Úםַֹֿ,0.658
Úבד ַבהÝ׃,״ָםָ הÝ׃ם,0.642
Úבד ַבהÝ׃,Ýׁזםֿ,0.821
Úבד ַבהÝ׃,ÚÞב,0.769
Úבד ַבהÝ׃,ַבױֹֽ,0.723
Úבד ַבהÝ׃,Úבד,0.671
Úבד ַבהÝ׃,ַהײַָ״,0.558
Úבד ַבהÝ׃,דÚׁÝֹ,0.748
ßזßָ,הּד,0.845
ßזßָ,ַבÞדׁ,0.808
ßזßָ,ַבװד׃,0.802
ßזßָ,דֹּׁ,0.811
ßזßָ,Úַבד Ýבß,0.794
׃ַָÞֹ Þײֶַםֹ,דÚבזדַÊ,0.385
׃ַָÞֹ Þײֶַםֹ,דÚׁÝֹ,0.281
׃ַָÞֹ Þײֶַםֹ,ַבÞַהזה,0.665
׃ַָÞֹ Þײֶַםֹ,ּדÚ,0.25
׃ַָÞֹ Þײֶַםֹ,דּדזÚֹ,0.177
׃ַָÞֹ Þײֶַםֹ,׃ַָÞֹ,0.604
ßזָ,Þוזֹ,0.658
ßזָ,ֳֿזַÊ Êהַזב ַב״Úַד,0.685
ßזָ,דÞַבֹ,0.24
ßזָ,Þ״Úֹ ֳֻׁםֹ,0.292
ßזָ,װםֱ,0.369
ßזָ,ßםַה,0.215
ßזָ,ַבװָׁ,0.725
ßזָ,״Úַד,0.5
ßזָ,דַֹֿ,0.192
ßזָ,׃ֶַב,0.59
ַבםÛזׁ,Þ״,0.742
ַּÛזַׁ,׃םַֹׁ,0.727
